lambda,N0
1,2.64598812576956
1,1.86312998884055
1,1.91891363487386
0.350475364905683,3.28787591687218
1,1.95742259816806
1,3.45186989433769
1,5.30906699759873
0.149640875075398,2.92986195232705
1,1.50159363209415
1,2.32043395305385
1,3.41927908592114
1,2.59840007194325
1,3.06232291958494
0.116714679947941,2.06723866693158
1,2.79076780653435
1,3.46968679307322
1,3.24280569895523
1,1.75544066067013
1,2.88234278710383
1,3.8044621087979
1,2.37137756422065
1,3.34417857429307
1,4.56310401881009
1,4.75289837687535
1,3.96385881871159
0.38559100280748,3.80129871995452
1,4.31311318218047
1,2.96749118962966
1,4.67688871843064
1,3.36701927711958
1,4.07040062051737
1,1.28114430157907
0.594125249280888,3.17759564349723
0.316709981474284,3.30502502174417
1,2.42774763222884
1,5.2309630984335
1,4.04746568845978
0.929162317981441,2.88439725327787
1,4.04006096707112
1,3.58378207393707
1,3.81088131395469
0.109352163828324,5.9765643043253
1,2.05127027002785
1,3.90418846154965
1,4.30320285454129
1,3.4475673475596
1,0.84774032956166
1,2.42917536182581
1,2.06911110882215
1,1.2654562596018
0.512905478995611,4.20216521194522
0.612690729630432,4.38820740449683
1,2.7604103840154
1,4.74584413970742
1,3.45560662896754
1,3.52490340555279
0.108505681134522,2.63493114408929
1,2.49286275313017
0.173542933866933,4.66981051163381
1,4.80882414197195
0.16328482352231,3.0410408259161
1,3.15238492217887
1,2.39084453944094
1,2.1579373206597
1,4.00874524323688
1,3.1841412488777
1,4.51337099647021
1,2.31237895146723
1,3.68547207396683
1,2.15998996638528
1,1.7115653552204
0.452458574766588,3.99322199294094
1,1.62463220184445
1,4.13933960145036
0.70473083295918,1.90421876349259
1,4.45803966101009
0.367879336626391,2.65561856500787
1,3.63630046493146
1,4.67688203301122
0.41627891721572,2.43597350061988
1,3.70182655604483
1,3.25816896838445
1,4.15935074660429
1,4.24546009713978
1,2.55652658950859
0.50175667373825,3.28984842565175
1,4.07618299658677
1,4.38294350823095
1,4.4148588260759
0.350151523838893,3.90745944002202
1,2.89853642090812
1,2.10554467496184
1,3.49401704722381
1,3.08326383245485
0.213293563609472,1.66951939103543
1,5.67901344483288
1,3.27403295546576
1,3.63131431154487
1,3.79905286008311
1,5.63892833264717
1,2.52896755718794
1,5.58257763178036
0.346541123122721,3.60241520617183
1,3.52334203546261
1,5.05284098278132
1,4.46995701350042
1,3.97820875475955
1,3.12044263602153
1,3.77477560343744
1,3.09545685568893
1,4.079776216424
0.199800299321884,3.28322235972011
1,3.34133489129652
1,2.83153848244739
1,4.68561154563223
1,4.72985352561433
1,1.80816246837368
1,2.23778369753222
1,0.405572303838732
1,3.50338542298773
1,3.05858622447514
1,1.9568155634901
1,3.4241743994694
1,2.56560486891525
0.267969664938424,4.48740030131859
1,3.82663554216269
1,3.02501931978936
1,2.13799506312561
0.0146555586997905,9.34120329495608
1,2.71298357979443
1,2.06980550984868
1,3.47963516424643
1,3.18393931351971
1,4.21110649307954
0.173389411250013,3.9018258022356
1,6.15911927295322
1,5.13130317109264
1,3.43167157280053
1,2.99843109739704
0.314608829957481,3.27574160506731
0.591803921318503,4.60109900421449
1,2.98445234545675
1,3.56868069427882
1,2.78707203302176
1,1.60335653941338
1,3.67504250281046
1,3.52357761956543
0.313814325422303,3.56818979098281
1,3.27272790132646
1,4.16491473348984
1,1.12392729650301
1,2.43245898753396
0.500959029732445,2.27563480476879
1,3.62390464393583
1,1.51160469596959
0.507058961751443,1.82034148161704
1,2.46302400148353
1,1.9630416571316
1,3.49632634584399
1,4.23284780415946
1,0.975343696522494
1,2.72700065253436
1,3.16337983428969
1,2.95138107454845
1,3.38511938430297
1,1.34648580521129
1,2.58420216320445
1,4.34452277660408
1,4.37794610847801
1,3.45655729048114
1,2.61184488844758
0.605121248066541,4.80729626143027
1,0.929327585548559
1,3.7062573533714
1,4.16759501931432
1,2.2075869047678
1,4.84125456183944
1,3.00645281449198
1,3.88073017595815
1,3.70788547002045
0.508783039191603,3.70825198556761
1,2.10292935136324
0.147120352978762,3.14104703956397
1,2.36264850016113
1,4.1853682566946
0.280759447586688,4.42245608536858
0.23166053831644,5.14759003382511
1,1.51724301473584
1,5.29644360811914
0.622783407794641,3.36475741020557
1,4.79185910503288
1,4.63711179879671
1,5.33182125697844
1,3.02348951905394
0,0.493169929021921
1,3.38699323926769
1,1.90994295718463
1,3.41335868956539
1,3.12370950390943
0.227540061305115,2.86630560801118
1,1.89623730771536
1,3.66446167917126
1,1.76104849180696
1,2.21593399761876
0.38080429983867,3.22634374413684
0.307375366538895,5.11643150470953
1,3.05078856933479
1,2.58104945082576
1,4.75849627487202
0.211569477187463,2.64927223888034
1,2.39086709234076
1,2.82371442973151
1,2.49077217207478
1,4.85222837699354
1,2.92605989829
1,3.66101767595441
1,4.13323714367529
0.023659103706059,7.02910368139136
1,2.3813377843433
1,4.54291299416522
1,3.19613694369606
1,3.20868528126652
1,4.13067163548312
0.435882443336497,3.28931756647629
1,4.37899583740496
1,3.15376532243628
1,4.60240811449231
1,3.63291702519315
1,4.35836432269331
1,3.8229976739669
0.016433767477048,9.12718754800212
1,4.24928561573003
1,4.25187410146759
1,3.4670204517635
1,3.44578578299161
1,2.11251014030651
1,3.34111651834957
1,3.18663906876705
0.388773137585754,2.71394109280466
1,2.67175557057928
0.472210735791372,2.49457364856124
1,3.46848305144651
1,2.52560225243963
1,3.52886106305718
1,5.62151190282343
1,2.10505884551966
0.545579763524106,3.07098314072625
0.124308063346186,4.15303002446606
0.114265216244447,5.84641440536748
1,3.33134358845021
1,2.20202307142281
1,4.61575422712246
1,2.21896105956051
1,5.14916482094607
1,4.40999104198278
1,5.42774357181828
1,4.77360525782664
1,2.6697202872634
1,2.76270881495019
1,3.27120228998005
1,3.73116883871157
1,4.34633432749671
1,3.12063798152287
1,2.87580836593021
0.601037699566575,1.55091787832309
1,3.7450273333848
1,1.90854860794624
0.195095362484918,4.06650854559273
1,4.24585687696252
1,5.04139473956547
1,4.33073967871983
1,3.3245945181055
1,2.32286262342389
0.409809750267802,3.45866413656729
1,0.961820402102738
1,4.11423661850703
1,2.68877978335891
0.444679376134825,2.39303529737709
1,4.32371317899255
1,1.21616375060103
0.716807396658724,3.68578928081569
0.878223893046498,3.30054061391541
1,1.72641054781241
1,2.27354222223906
1,2.49088214678477
1,3.32912559570944
1,4.96120702400269
0.355965894757442,3.2091506189634
1,2.45848112185844
1,3.16884579333335
1,3.10027184071007
1,4.33304963078481
0.250841559252324,1.61991611753092
1,1.38902080186649
1,3.22206509207788
1,2.91702436795834
1,3.62977320565804
1,1.84177704641664
1,2.18338441098108
1,1.96704930634036
1,3.83288013323161
1,1.62171182570277
1,2.35166780621797
1,4.43154642560796
1,1.0451585104185
1,2.01102536506997
1,1.49256569609329
1,3.27171266832609
1,4.20130978427341
1,4.02944928407741
1,4.30498773322795
1,3.03448880489692
1,3.47271399296705
1,4.28127117909775
0.125987325362834,3.09665897192676
1,3.96791650952388
1,6.28953744709087
1,3.79632523687039
0.226970933140662,3.18334770758362
0.444404914734983,3.08975013732426
1,3.23681382678569
1,3.95158783017586
1,4.25313153017358
1,3.66418782904133
1,4.49486059604905
1,2.88380453587189
1,3.79481301639028
1,5.15890127355258
0.450706821015308,2.81696923904484
1,3.67789375691455
1,4.32288793056888
1,4.25431147916723
1,5.10915440669623
1,4.25647146815068
1,2.90575079983789
0.254680842602589,3.38956265368365
1,3.46743054423973
1,4.49207177876472
0.400578318483526,4.36706082617614
1,3.91058683294731
1,1.70343637141205
0.615023230975908,2.82644261018839
1,1.91342182663067
1,3.10202366242728
1,3.03614858478163
1,4.67926247229142
0.289523666673129,4.31984184997074
0.197588703119259,3.00076583815818
1,2.09335403222875
1,0.553194470870229
1,2.46197082957674
1,1.31117224171184
1,4.03218418699755
1,2.68689227324487
1,5.61275665935452
0.483126388799606,3.78516072253754
1,4.26143706430102
1,1.59695919547015
1,5.24557536786897
0.229259924201887,5.42614973958717
0.398192091640703,1.18112174763489
1,5.76001784011752
0.673817702975191,3.22684464587978
1,2.15892743842848
1,0.568902516181772
0.423283240132719,1.90604259641802
1,2.8031922421483
1,2.26196808829883
0.430265979556409,2.65487362022546
1,2.4927610270391
1,3.18718276221059
0.529260436604284,3.23043724396098
1,3.85403617972651
0.0261545489978375,6.40842087505158
1,2.79861093472543
0.574372776330975,4.57049201732473
1,3.00597525159822
1,2.21077013106467
1,4.81443113798207
0.274626442193338,3.45517049318595
1,2.04444913713489
1,1.00473991312274
1,3.77117822741146
1,3.6971864424675
1,3.43637121015017
1,2.63662809430207
1,3.07083031393467
0.186250245158658,2.94151114171573
0.178073819172977,3.97623090469241
1,1.86599837384856
1,4.27508917338673
0.121725886854281,4.50837274529251
1,2.11257342452559
1,3.2809048540835
1,4.20806899674794
1,3.97373422237932
1,3.0821341242265
0.47851825549983,2.59928404831242
1,6.10517583086622
1,3.71310583504572
1,4.35992704187269
1,4.22336601489574
1,2.75179077036438
0.527951930100331,3.07518747697452
