learning Rate,Asymptote,ModelOutput,Endpoint,Rotation,Clamp_Trials,Change
0.407456943,6.884250853,6.862484998,-9.035529843,-30,-30,26.97786425
0.029581065,8.699020839,2.446973556,-4.686019424,-15,-15,5.964470157
0.243500859,3.06787686,2.925404455,-1.315924918,0,0,4.686019424
1,7.41849897,7.41849897,-8.828196126,-15,-15,13.68407508
0.230505651,12.21989064,11.5354637,1.605125247,15,15,23.82819613
1,5.999131374,5.999131374,-4.817623816,0,0,1.605125247
1,5.147645034,5.147645034,-1.041974883,0,0,1.605125247
1,1.121560711,1.121560711,-0.702682697,15,15,16.04197488
1,1.930329773,1.930329773,-0.587984526,15,15,16.04197488
0.684171633,9.753191101,9.753160685,-9.497575637,-30,-30,29.41201547
0.619002702,10.57273988,10.57248026,-10.64588481,-30,-30,29.41201547
0.704890533,5.164895881,5.164888245,-3.452304974,0,360,10.64588481
0.722255418,7.112804654,7.112799257,-11.71842805,-30,-30,26.54769503
0.895302928,9.304734861,9.304734861,-2.169891175,0,0,11.71842805
1,6.851507927,6.851507927,5.673587216,30,30,32.16989117
0.458531871,9.937091845,9.925435532,-4.070323654,0,360,5.673587216
0.513635758,9.682995569,9.679507479,-3.652991612,0,360,5.673587216
1,7.094383384,7.094383384,-2.187408919,30,30,33.65299161
0.273431136,6.937003206,6.730362202,-7.432180825,-15,-15,12.81259108
0.311182339,6.306255253,6.20180282,-10.29834714,-15,-15,12.81259108
0.873836799,12.17785192,12.17785192,3.367539814,30,30,40.29834714
0.927976071,11.4768142,11.4768142,-14.7166311,30,30,40.29834714
0,0,0,-0.72499639,15,15,29.7166311
1,6.819402638,6.819402638,-8.945228569,-15,-15,14.27500361
1,2.709493159,2.709493159,-4.116462248,0,360,8.945228569
0.247257898,5.689606334,5.4394621,-9.373882271,-15,-15,10.88353775
0.017049717,19.44700751,3.351678637,-19.09738603,-30,-30,20.62611773
1,20.4180422,20.4180422,5.436094027,30,30,49.09738603
0.891539926,8.9414007,8.9414007,-3.117418054,0,0,5.436094027
0.803067267,9.786921367,9.786921198,-0.898632141,0,360,5.436094027
0.202138376,1.79031144,1.640986644,-0.574327691,15,15,15.89863214
0.71791865,3.227051962,3.227049058,4.632607267,30,30,30.57432769
0.72918897,12.88422971,12.8842223,-10.14028146,-30,-30,34.63260727
0.974398964,10.96540625,10.96540625,3.840464281,15,15,25.14028146
1,7.002146818,7.002146818,-2.435355661,0,360,3.840464281
1,7.017306995,7.017306995,-5.889467735,0,0,2.435355661
