V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33
1,0.0857023462643491,0.802475982869135,0.360415207055575,0.834665702346617,0.982425501189284,1,1,1,0.339354413761659,0.0373404934354282,0.215569646654507,1,0.0349665979758089,0.641281680430721,0,0.580873136485302,1,0.0115969995925193,1,1,0.268275267648295,1,0.470655165112003,0.025215474794046,0,1,1,0,0.449886983273923,0.0214471114564665,0.376104046317004,-30
0.518505076577156,1,0,0,0.0132396508840766,1,0.93438262959659,0.662833573126577,1,0,0.0325375882998171,0.522164106709892,0,0.846033221216407,1,0,1,0,0,0.0107016342578509,1,0,0.0213657602833692,0,0.0163905596974651,0.303768906529696,0,0,0,0.195161690674994,0.121599772304343,0,-15
0.255525409018534,1,0.00519114013246204,1,0.0162932917442073,1,1,0.00483078333661056,0.298662885256434,0.490118806313954,0,0.220783120144738,0.009640640202992,1,0.0237616188684889,0.920281212180948,0.227217423307673,0.694027232935824,1,0.0226549715006074,1,1,0,0.688785090414988,0.0184956757640591,0,0.255131211779428,0.156259021409318,0.18949043547376,0.483470843732416,0.13024009502047,1,0
0.865154866773683,0.637562801114711,1,1,0.223687308361249,1,0.155554795300285,1,0.00658351348929624,0.0256833721994992,0,0.647172207236639,1,1,0.682688093262632,1,0.562625241582813,1,0.0307209092313296,0.978389457856124,0.0253736265416723,0.645054441417935,0.0620910647497402,1,1,0,0,1,1,1,0.865976281767883,1,-15
0.165608208311418,0.00227317416810873,0,0.0164315591282372,1,1,1,0.851871947482551,0.421358884330205,0.223395160761982,0.0303620111950357,0.437687511929267,1,0.797528594518262,0.539064046823318,0.242980682193861,0.209352952892721,0.350975789409705,0.428221430187356,1,1,0.345590288097211,0.582754339336421,1,0.306632755174524,0.0378282981693875,0.74911363711997,0.234605979732443,0.182515273126609,1,0.5219514445912,1,15
0.0491450561852499,0.655009482862968,0.97198886320675,0.0242826804111451,1,0.862633887933833,0.0161201891377523,0.10345942311162,1,0.497799103522347,1,1,1,0.094587464376721,0.406501470821135,1,0.265448591391979,1,0.0145415886063036,1,1,1,0.00961339113391426,1,0,0.820194636986715,1,1,0.0603046599120956,0.455250708643702,0.224591569694211,1,0
0.176772443057402,0.636266521910941,1,1,1,0.912430832409657,0.0110652165405851,0.381859664493208,1,0.580726332364726,1,1,1,0.248273452250141,0.420384628923839,1,0.322816252046634,1,0.134886041307869,1,1,1,0.0828641701544877,1,0,0.828311048102497,1,1,0.912656941771231,0,0.311948889801261,1,0
1,1,0,0,0.899064006280591,1,0.119175618549041,0.730510578086698,1,0.451843674428213,0.0186131517557717,0.76497877105767,0.468982420310843,1,1,0.637214019444517,1,1,1,0.0121360556591249,0.87831331053903,0.772619072590273,0.28358851692213,0,0,0.00817461932337161,0.337767857011892,0,0,0.579523135930819,1,0,15
1,1,0.00620351666290448,0,0.949293866399178,0.792122610130418,0.0955056285423823,0.0079671403322333,1,0.531737642352178,0.183702478180056,1,0.508605115810904,1,1,0.776430980462667,1,0.0548155063039,0.0649413996968186,0.074840274692239,1,0.779438088146632,0.128038784661397,0,0,0.00422116600635246,0.463682412353221,0,0,0.0918746758677339,1,0,15
0.31990702261672,0.00799978797847806,1,1,1,0.707419216714164,0.583563067710289,0.0475335896650179,0.4752062812426,1,0.824919871655887,0.11576901165321,0.4018602680915,1,0.388172221154695,0.0484183295311212,0,0.392128513233989,1,0.466438415300045,1,0.0052425384121791,0.775403818166579,0.972630530507317,0.0235637405748591,1,1,0.87842354238519,0.947934113480175,0.728691990948062,1,0.607138151607378,-30
0.380983051261026,1,0.00795799191913173,1,1,0.746012019673402,0.545215142793957,0.530811032095034,0.541455864017637,1,0.882826077193763,0.0719472614941526,0.489508976595561,1,0.539067363218382,0.297918328793422,0.0170945946406676,0.488544239252583,0.213710075383939,0.566152870623429,0.105322045469593,0.00764215601368742,0.774254602140814,0.979989260665002,0.0660342753337237,0.171957908443707,1,0.795149704282963,0.938019278870636,0.78323816653007,1,0.758944605680137,-30
1,0.0140776445920438,0.806557019456687,0.715687205133069,0.0330134263699536,0.498994146767132,0.53087687955161,1,1,0,0.721871603014495,1,0,0.0146820730151162,0,1,0.0244455703586773,0.0286995186724469,0.0208644303110004,0,0,0,0.912163420140779,1,1,0,0.0218547598876225,1,0.18730874403513,0.207034683592582,0.0241221822836157,0.0233321875405787,0
0.956804170498425,1,1,1,0.790318055477924,0.829055055501979,1,0.0220786079496758,0.432193906308496,0,0.0262870199092898,1,1,0.10384219958206,0.00846248218286596,1,0.01388090916033,0.230885640075497,0.54278414541578,0.012233159590103,0.965431977227153,0,0.112646834604263,1,0.106642563086315,0.59818279095708,0.135293974627211,0.0421399440953116,1,0.291262696748495,0.479916408379772,1,-30
