group,signal,avg,lwr,upr,set
variation,localization,3,2,8,1
variation,localization,6,2,NA,2
variation,localization,4,2,NA,3
variation,localization,2,2,4,4
variation,localization,7,4,NA,5
variation,localization,2,2,3,6
variation,localization,2,2,NA,7
variation,localization,3,2,14,8
variation,localization,3,2,8,9
variation,localization,2,2,5,10
variation,localization,2,2,2,11
variation,localization,2,2,3,12
variation,localization,3,3,4,13
variation,localization,2,2,3,14
variation,localization,2,2,NA,15
variation,localization,2,2,4,16
variation,localization,2,2,NA,17
variation,localization,2,2,NA,18
variation,localization,2,2,5,19
variation,localization,2,2,4,20
variation,localization,3,2,9,21
variation,localization,2,2,NA,22
variation,localization,3,2,4,23
variation,localization,2,3,5,24
variation,reaches,10,7,NA,1
variation,reaches,5,2,11,2
variation,reaches,6,4,8,3
variation,reaches,6,4,11,4
variation,reaches,7,5,10,5
variation,reaches,6,4,8,6
variation,reaches,7,6,9,7
variation,reaches,9,8,11,8
variation,reaches,8,5,NA,9
variation,reaches,5,4,6,10
variation,reaches,5,4,7,11
variation,reaches,4,3,5,12
variation,reaches,6,5,7,13
variation,reaches,7,5,10,14
variation,reaches,4,2,6,15
variation,reaches,5,4,7,16
variation,reaches,4,3,NA,17
variation,reaches,6,2,10,18
variation,reaches,6,5,7,19
variation,reaches,5,4,8,20
variation,reaches,4,3,5,21
variation,reaches,3,2,5,22
variation,reaches,5,4,6,23
variation,reaches,4,4,5,24
