group,signal,phase,lambda,lambda_025,lambda_500,lambda_975,N0,N0_025,N0_500,N0_975
variation,localization,1,0.459093694319489,0.149882723972236,0.358450660568477,1,7.2526273219396,4.78613186172895,7.39823845037549,12.0665015645235
variation,localization,2,0.0400297114308941,0.00201678141613149,0.0291881009671227,0.80757781029609,10.1353806964442,1.80615087507764,11.7391697142139,22.2364480350493
variation,localization,3,0.488014275083053,0.00728924756611352,0.142030274726098,0.951259395859124,4.21888767473356,3.39023800692181,6.12380801788234,44.8881352059338
variation,localization,4,1,0.449389219767116,0.682280748736513,0.96809796360445,6.66626161090092,4.99017637556345,6.84847312990741,9.19420825467322
variation,localization,5,0.232690258806829,0.0246924896547152,0.157399685604083,0.521378049093851,12.029193677725,9.37799759464855,13.4074458513711,43.966027179943
variation,localization,6,1,0.468213335727686,0.687627627190596,0.886178959458824,5.19722497493974,3.32791856571627,5.20663514284789,7.41918672600322
variation,localization,7,1,0.0114381204351895,0.736116515688601,1,3.60494215458642,2.57179173390577,3.94378160466708,20.1958480931663
variation,localization,8,0.660749124474804,0.117849240917921,0.629577243361052,1,12.8542631076298,10.1356050358963,12.654189295294,19.8153779428678
variation,localization,9,0.45374042791685,0.126529030817571,0.403137808546354,1,5.75073577759264,3.29228510418193,5.64576107719706,9.10703442624607
variation,localization,10,0.900153167918225,0.361444112657516,0.641773323162393,0.999087023914934,8.00818459505275,6.15257796687121,8.18868131620911,10.5155603148508
variation,localization,11,1,0.650999466190086,0.819645606785309,1,7.34033196404777,3.89775500275036,7.04941382279942,9.97619967622516
variation,localization,12,1,0.447969286908139,0.701399516604363,1,6.89823478857298,3.50835599342945,7.06089701379437,9.76898706250122
variation,localization,13,0.39306140201981,0.231377023936009,0.337771471319982,0.5243703090503,9.87934244682955,5.36105471312097,9.78341853663005,13.3209777782105
variation,localization,14,0.919067425784112,0.678125894629144,0.991905128618102,1,10.393580152872,7.43993254215994,10.084550384786,12.9905474585001
variation,localization,15,1,0,1,1,1.81948599955038,0,1.68738244088758,6.40590140219815
